settlement_date,perfect_qr_availability_gbp,forecast_selected_qr_availability_gbp,naive_selected_qr_availability_gbp,forecast_capture_pct,naive_capture_pct,forecast_regret_gbp,naive_regret_gbp,forecast_mean_abs_commitment_error_mw,naive_mean_abs_commitment_error_mw,forecast_mean_pqr_mw,forecast_mean_nqr_mw,naive_mean_pqr_mw,naive_mean_nqr_mw,perfect_mean_pqr_mw,perfect_mean_nqr_mw
2026-04-01,6378.75,5998.25,6143.625,94.03488144228885,96.31393298059965,380.5,235.125,8.333333333333334,6.25,11.979166666666666,13.020833333333334,13.020833333333334,11.979166666666666,15.104166666666666,9.895833333333334
2026-04-02,4511.875,4286.875,4343.75,95.01315971741238,96.27372212217759,225.0,168.125,7.291666666666667,5.208333333333333,11.979166666666666,13.020833333333334,15.104166666666666,9.895833333333334,14.583333333333334,10.416666666666666
2026-04-03,4983.25,4575.625,4218.875,91.82009732604224,84.66111473436011,407.625,764.375,9.375,12.5,13.020833333333334,11.979166666666666,14.583333333333334,10.416666666666666,11.458333333333334,13.541666666666666
2026-04-04,5263.625,4328.875,4211.25,82.2413260823102,80.00664940986488,934.75,1052.375,12.5,14.583333333333334,12.5,12.5,11.458333333333334,13.541666666666666,10.416666666666666,14.583333333333334
2026-04-05,5173.375,3900.375,3946.625,75.39323942300723,76.28723995457511,1273.0,1226.75,13.541666666666666,11.458333333333334,12.5,12.5,10.416666666666666,14.583333333333334,8.854166666666666,16.145833333333332
2026-04-06,4907.0,4809.5,3917.5,98.0130425922152,79.83492969227633,97.5,989.5,5.208333333333333,14.583333333333334,11.458333333333334,13.541666666666666,8.854166666666666,16.145833333333332,11.979166666666666,13.020833333333334
2026-04-07,6057.0,6008.375,5429.125,99.19720983985471,89.63389466732706,48.625,627.875,1.0416666666666667,5.208333333333333,11.979166666666666,13.020833333333334,11.979166666666666,13.020833333333334,12.5,12.5
2026-04-08,5597.625,5558.0,5514.5,99.29211049328957,98.51499519885665,39.625,83.125,3.125,4.166666666666667,11.979166666666666,13.020833333333334,12.5,12.5,13.541666666666666,11.458333333333334
2026-04-09,3783.375,3592.125,3662.875,94.94498959262563,96.81501305051707,191.25,120.5,8.333333333333334,6.25,11.458333333333334,13.541666666666666,13.541666666666666,11.458333333333334,14.583333333333334,10.416666666666666
2026-04-10,4749.75,4159.875,4266.375,87.58092531185852,89.82314858676773,589.875,483.375,10.416666666666666,9.375,11.979166666666666,13.020833333333334,14.583333333333334,10.416666666666666,13.020833333333334,11.979166666666666
2026-04-11,4234.0,4026.625,3364.25,95.10214926783183,79.45795937647614,207.375,869.75,6.25,13.541666666666666,12.5,12.5,13.020833333333334,11.979166666666666,12.5,12.5
2026-04-12,3379.625,2832.125,2814.0,83.79997780818879,83.26367570366534,547.5,565.625,12.5,14.583333333333334,11.458333333333334,13.541666666666666,12.5,12.5,8.333333333333334,16.666666666666668
2026-04-13,5075.0,4956.625,4285.375,97.66748768472907,84.44088669950739,118.375,789.625,2.6041666666666665,11.979166666666666,10.9375,14.0625,8.333333333333334,16.666666666666668,10.9375,13.541666666666666
2026-04-14,4386.625,4215.5,4155.125,96.09893710996495,94.72259424956545,171.125,231.5,9.375,10.9375,11.458333333333334,13.541666666666666,10.9375,13.541666666666666,16.145833333333332,8.854166666666666
2026-04-15,4751.125,4573.375,3785.25,96.25878081507011,79.67060433055329,177.75,965.875,3.125,10.416666666666666,12.5,12.5,16.145833333333332,8.854166666666666,11.979166666666666,13.020833333333334
2026-04-16,5900.125,5533.25,5520.75,93.7819114001822,93.57005148196012,366.875,379.375,3.125,4.166666666666667,11.458333333333334,13.541666666666666,11.979166666666666,13.020833333333334,9.895833333333334,15.104166666666666
2026-04-17,4826.125,4742.375,4681.375,98.26465331917429,97.00069931881167,83.75,144.75,3.125,5.208333333333333,10.9375,14.0625,9.895833333333334,15.104166666666666,12.5,12.5
2026-04-18,3901.625,3703.75,3865.625,94.92839521994041,99.07730753211803,197.875,36.0,8.333333333333334,5.208333333333333,10.9375,14.0625,12.5,12.5,13.020833333333334,11.979166666666666
2026-04-19,3165.5,2568.25,2811.75,81.13252250829252,88.82483020060022,597.25,353.75,20.833333333333332,15.625,11.458333333333334,13.541666666666666,13.020833333333334,11.979166666666666,16.666666666666668,8.333333333333334
2026-04-20,3720.375,3622.5,2277.125,97.36921681282129,61.20686758727279,97.875,1443.25,6.770833333333333,26.5625,11.458333333333334,13.541666666666666,16.666666666666668,8.333333333333334,13.541666666666666,10.9375
2026-04-21,5404.875,5084.375,4974.625,94.07016813524827,92.03959388514998,320.5,430.25,6.770833333333333,7.291666666666667,10.9375,14.0625,13.541666666666666,10.9375,13.020833333333334,11.458333333333334
2026-04-22,5737.375,5737.375,5619.125,100.0,97.93895291836424,0.0,118.25,0.0,3.6458333333333335,12.5,12.5,13.020833333333334,11.458333333333334,12.5,12.5
2026-04-23,4926.625,4802.375,4802.375,97.47798949585162,97.47798949585162,124.25,124.25,4.6875,4.6875,12.5,12.5,12.5,12.5,11.979166666666666,12.5
2026-04-24,4408.625,4237.25,4315.625,96.11273356205166,97.89049873826873,171.375,93.0,5.729166666666667,4.166666666666667,13.020833333333334,11.979166666666666,11.979166666666666,12.5,11.979166666666666,11.458333333333334
2026-04-25,3732.375,3441.0,3472.625,92.19330855018588,93.04062426739007,291.375,259.75,14.583333333333334,10.9375,13.020833333333334,11.979166666666666,11.979166666666666,11.458333333333334,16.145833333333332,8.854166666666666
2026-04-26,3277.75,3145.5,3099.875,95.96522004423767,94.57325909541606,132.25,177.875,8.854166666666666,6.770833333333333,13.020833333333334,11.979166666666666,16.145833333333332,8.854166666666666,16.666666666666668,7.8125
2026-04-27,3910.125,3803.0,3608.25,97.26031776477734,92.27965857868993,107.125,301.875,5.208333333333333,14.0625,13.020833333333334,11.979166666666666,16.666666666666668,7.8125,12.5,12.5
2026-04-28,3123.0,3016.625,2996.625,96.59382004482869,95.9534101825168,106.375,126.375,5.208333333333333,6.25,13.020833333333334,11.979166666666666,12.5,12.5,13.541666666666666,11.458333333333334
2026-04-29,4921.25,4583.625,4646.0,93.13944627889256,94.40690881381762,337.625,275.25,9.375,9.375,13.541666666666666,11.458333333333334,13.541666666666666,11.458333333333334,16.145833333333332,8.854166666666666
2026-04-30,4707.375,4342.5,4133.375,92.24886481319207,87.80636766775538,364.875,574.0,9.375,13.541666666666666,13.020833333333334,11.979166666666666,16.145833333333332,8.854166666666666,14.583333333333334,10.416666666666666
