service_date,delivery_start_utc,product,family,direction,window_hours,cleared_volume_mw,clearing_price_gbp_per_mw_per_hour,forecast_clearing_price_gbp_per_mw_per_hour,prior_same_window_price_gbp_per_mw_per_hour,naive_clearing_price_gbp_per_mw_per_hour
2026-05-01,2026-05-01 02:00:00+00:00,DRH,Dynamic Regulation,downward,4.0,500,-8.72,-6.263523878109263,-4.52,-4.52
2026-05-01,2026-05-01 02:00:00+00:00,DRL,Dynamic Regulation,upward,4.0,480,16.3,14.274210776668934,14.0,14.0
2026-05-01,2026-05-01 02:00:00+00:00,NBR,Balancing Reserve,downward,0.5,2,0.0,0.06040371577589168,0.0,0.0
2026-05-01,2026-05-01 02:00:00+00:00,NQR,Quick Reserve,downward,0.5,300,1.95,4.193236115211122,1.48,1.48
2026-05-01,2026-05-01 02:00:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.27573683777919655,0.0,0.0
2026-05-01,2026-05-01 02:00:00+00:00,PBR,Balancing Reserve,upward,0.5,400,1.9,2.2563482331967566,2.26,2.26
2026-05-01,2026-05-01 02:00:00+00:00,PQR,Quick Reserve,upward,0.5,300,0.25,0.3397626318360697,0.0,0.0
2026-05-01,2026-05-01 02:00:00+00:00,PSR,Slow Reserve,upward,0.5,1817,3.64,2.972479519952638,2.5,2.5
2026-05-01,2026-05-01 02:30:00+00:00,NBR,Balancing Reserve,downward,0.5,4,0.0,0.09203719755105953,0.0,0.0
2026-05-01,2026-05-01 02:30:00+00:00,NQR,Quick Reserve,downward,0.5,300,1.0,4.0667059637149565,9.42,9.42
2026-05-01,2026-05-01 02:30:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.288565602937566,0.0,0.0
2026-05-01,2026-05-01 02:30:00+00:00,PBR,Balancing Reserve,upward,0.5,403,2.02,1.836542959703817,2.08,2.08
2026-05-01,2026-05-01 02:30:00+00:00,PQR,Quick Reserve,upward,0.5,300,0.25,0.28178815540566704,0.0,0.0
2026-05-01,2026-05-01 02:30:00+00:00,PSR,Slow Reserve,upward,0.5,1817,3.64,2.4687347180848143,2.5,2.5
2026-05-01,2026-05-01 03:00:00+00:00,NBR,Balancing Reserve,downward,0.5,0,0.0,0.0767152586134739,0.0,0.0
2026-05-01,2026-05-01 03:00:00+00:00,NQR,Quick Reserve,downward,0.5,268,19.32,4.723612848435784,1.48,1.48
2026-05-01,2026-05-01 03:00:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.30367885962231866,0.0,0.0
2026-05-01,2026-05-01 03:00:00+00:00,PBR,Balancing Reserve,upward,0.5,405,2.07,1.643381132075856,1.98,1.98
2026-05-01,2026-05-01 03:00:00+00:00,PQR,Quick Reserve,upward,0.5,300,0.25,0.17955076007929704,0.0,0.0
2026-05-01,2026-05-01 03:00:00+00:00,PSR,Slow Reserve,upward,0.5,1820,1.75,2.233552957389737,2.55,2.55
