settlement_date,scenario,forecast_selection_objective_gbp,realised_wholesale_margin_gbp,acceptance_calibrated_ancillary_gbp,acceptance_calibrated_total_gbp,stage11_perfect_information_total_gbp,reserve_aware_wholesale_only_gbp,offered_mw_hours,acceptance_calibrated_expected_accepted_mw_hours,price_eligible_offer_pct,mean_predicted_acceptance_pct,contract_rows,mean_reserve_corridor_width_mwh,baseline_forecast_wholesale_value_gbp
2026-05-01 00:00:00,non_bm,5436.445624903269,2970.992215006246,2553.4984813634383,5524.490696369685,12448.939645141838,3792.484503397069,597.0,271.8176621991875,100.0,49.47016869730474,29,114.01944994118834,4240.568115874374
2026-05-01 00:00:00,bm_eligible,5436.445624903269,2970.992215006246,2553.4984813634383,5524.490696369685,12453.559645141857,3792.484503397069,597.0,271.8176621991875,100.0,49.47016869730474,29,114.01944994118834,4240.568115874374
2026-05-02 00:00:00,non_bm,5225.61909442683,4365.256682944514,2612.336773020923,6977.593455965437,12990.163845151224,4390.775222277544,596.0,294.9242698926644,100.0,50.8687472020995,28,119.24843507742942,3869.322481688759
2026-05-02 00:00:00,bm_eligible,5242.632395780929,4365.256682944504,2681.1395589863696,7046.396241930874,13006.314606809208,4390.775222277544,596.5,291.3006250667502,100.0,50.125895294787234,29,119.24843507742942,3869.322481688759
2026-05-03 00:00:00,non_bm,5294.534841703129,-443.3650448583796,2613.553024454121,2170.1879795957416,8181.189449110068,-741.0288813908463,597.0,295.0007942594766,100.0,50.81999742245367,28,116.28823947626874,3927.086017035437
2026-05-03 00:00:00,bm_eligible,5323.511037160125,-443.3650448583796,2572.2190027428987,2128.85395788452,8195.474549204067,-741.0288813908463,597.5,286.8535727502931,100.0,47.988592249889045,29,116.28823947626874,3927.086017035437
2026-05-04 00:00:00,non_bm,4949.479188750296,1680.980955333247,2891.73319411101,4572.714149444257,10020.936140239372,1960.8444832391792,596.0,278.5421038847114,100.0,46.27873935186923,29,120.14044728300382,3520.92529521048
2026-05-04 00:00:00,bm_eligible,4997.728851059684,1715.019470225246,3027.784899683559,4742.804369908805,10237.22447646063,1960.8444832391792,597.0,291.0194853528453,100.0,48.22418096993118,29,120.14044728300382,3520.92529521048
2026-05-05 00:00:00,non_bm,4865.78800672275,1779.4910262244564,2805.4931441905464,4584.984170415003,9495.276554186848,2155.3513876523,600.0,284.2426955770808,100.0,46.9570584028184,28,112.2988390154764,3190.664704891541
2026-05-05 00:00:00,bm_eligible,4959.406400918812,1806.7604706689049,2775.861079268888,4582.621549937792,9690.801554186844,2155.3513876523,600.0,295.94292406030286,100.0,50.41704374800951,28,112.2988390154764,3190.664704891541
2026-05-06 00:00:00,non_bm,4760.079218575764,2624.077769809653,2908.5003976699727,5532.578167479626,9839.79421056244,2885.44509892311,597.0,292.96632004302245,100.0,50.187938647110805,28,118.20808836108564,3154.314008986056
2026-05-06 00:00:00,bm_eligible,4815.09180984754,2637.3679885138795,2893.9218565445567,5531.289845058436,9906.503408190938,2885.44509892311,597.5,295.6096874615173,100.0,50.272654706388366,30,118.20808836108564,3154.314008986056
