product,family,direction,delivery_start_utc,delivery_end_utc,window_hours,contracted_mw,clearing_price_gbp_per_mw_per_hour,energy_guard_hours,bm_required,raw_forecast_price_gbp_per_mw_per_hour,prior_same_window_price_gbp_per_mw_per_hour,capacity_selection_acceptance_prior,standalone_wholesale_opportunity_cost_gbp,opportunity_cost_bid_gbp_per_mw_per_hour,predicted_acceptance_ratio_at_bid_time,acceptance_lookup_level,acceptance_lookup_orders,opportunity_cost_bid_feasible,realised_clearing_price_gbp_per_mw_per_hour,realised_system_cleared_volume_mw,price_eligible_after_auction,acceptance_calibrated_expected_accepted_mw,acceptance_calibrated_availability_payment_gbp,settlement_date,scenario
PSR,Slow Reserve,upward,2026-04-30 23:00:00+00:00,2026-04-30T23:30:00+00:00,0.5,25.0,1.0082928659353234,1.0,False,1.860796208393929,2.46,0.5418609847693051,0.0,0.0,0.55535754449506,standalone_parent:product_margin_quantity,40443,True,1.79,1797,True,13.8839386123765,12.426125058076968,2026-05-01,non_bm
PSR,Slow Reserve,upward,2026-04-30 23:30:00+00:00,2026-05-01T00:00:00+00:00,0.5,25.0,1.0181365643370737,1.0,False,1.8789626730009743,2.46,0.5418609847693051,0.0,0.0,0.55535754449506,standalone_parent:product_margin_quantity,40443,True,1.79,1797,True,13.8839386123765,12.426125058076968,2026-05-01,non_bm
PSR,Slow Reserve,upward,2026-05-01 00:00:00+00:00,2026-05-01T00:30:00+00:00,0.5,25.0,0.9089031113560287,1.0,False,1.6773732320716728,1.92,0.5418609847693051,0.0,0.0,0.651420115892579,standalone_parent:product_margin_quantity,11247,True,10.49,1800,True,16.285502897314473,85.4174626964144,2026-05-01,non_bm
PSR,Slow Reserve,upward,2026-05-01 00:30:00+00:00,2026-05-01T01:00:00+00:00,0.5,25.0,1.261469136727846,1.0,False,2.3280309381656457,1.92,0.5418609847693051,0.0,0.0,0.651420115892579,standalone_parent:product_margin_quantity,11247,True,0.77,1817,True,16.285502897314473,6.269918615466072,2026-05-01,non_bm
PSR,Slow Reserve,upward,2026-05-01 01:00:00+00:00,2026-05-01T01:30:00+00:00,0.5,25.0,1.2547561880490694,1.0,False,2.3156422464763287,1.92,0.5418609847693051,0.0,0.0,0.651420115892579,standalone_parent:product_margin_quantity,11247,True,0.77,1817,True,16.285502897314473,6.269918615466072,2026-05-01,non_bm
PSR,Slow Reserve,upward,2026-05-01 01:30:00+00:00,2026-05-01T02:00:00+00:00,0.5,25.0,1.2862398643705972,1.0,False,2.3737451127215,1.92,0.5418609847693051,0.0,0.0,0.651420115892579,standalone_parent:product_margin_quantity,11247,True,0.77,1817,True,16.285502897314473,6.269918615466072,2026-05-01,non_bm
DRL,Dynamic Regulation,upward,2026-05-01 02:00:00+00:00,2026-05-01T06:00:00+00:00,4.0,25.0,4.208935681671559,1.0,False,14.274210776668934,14.0,0.294862934807648,185.7114721989824,1.857114721989824,0.4781843929077178,standalone_parent:product_margin_quantity,466,True,16.3,480,True,11.954609822692944,779.44056043958,2026-05-01,non_bm
NQR,Quick Reserve,downward,2026-05-01 06:00:00+00:00,2026-05-01T06:30:00+00:00,0.5,25.0,0.0711644038857405,1.0,False,0.8094755778543454,0.0,0.0879142074605562,0.0,0.0,0.4126759714306841,standalone_parent:product_margin_quantity,707,True,0.45,300,True,10.316899285767102,2.3213023392975978,2026-05-01,non_bm
NQR,Quick Reserve,downward,2026-05-01 06:30:00+00:00,2026-05-01T07:00:00+00:00,0.5,25.0,0.0788432067152541,1.0,False,0.8968198541814537,0.0,0.0879142074605562,0.0,0.0,0.4126759714306841,standalone_parent:product_margin_quantity,707,True,0.0,344,True,10.316899285767102,0.0,2026-05-01,non_bm
NQR,Quick Reserve,downward,2026-05-01 07:00:00+00:00,2026-05-01T07:30:00+00:00,0.5,25.0,0.0481394773907214,1.0,False,0.5475733534004705,0.0,0.0879142074605562,0.0,0.0,0.4126759714306841,standalone_parent:product_margin_quantity,707,True,0.0,350,True,10.316899285767102,0.0,2026-05-01,non_bm
