wind_share,periods,days,observed_p10_p90_coverage_pct,mean_p10_p90_width_cf,p10_pinball,p50_pinball,p90_pinball,p50_mae_cf,v2_point_mae_cf,median_rolling_correction_cf
0.0,4320,90,83.35648148148148,0.049167981703137305,0.004236727928833832,0.008465317292495457,0.003938857832039097,0.016930634584990913,0.016551305854637637,0.0
0.05,4320,90,83.47222222222223,0.0526395506116857,0.0042409788687537975,0.00891853266156495,0.0040526085400731104,0.0178370653231299,0.016442288049748476,0.0
0.1,4320,90,82.10648148148148,0.05337912622387073,0.004223296839490361,0.008830924320047178,0.004018319821403816,0.017661848640094357,0.01650627398180097,0.00010057740343608068
0.15,4320,90,82.47685185185185,0.056942464126679034,0.004413111199626313,0.008831234503442404,0.004164944133336593,0.01766246900688481,0.016707416458011812,0.0037519684283824593
0.2,4320,90,82.84722222222223,0.059458348183234554,0.004426638251232582,0.00890704504235583,0.004245924260767382,0.01781409008471166,0.017034937267569383,0.004290187879922509
0.25,4320,90,82.70833333333333,0.06148591033443011,0.0044673103755417005,0.009080456581385943,0.004346326637474732,0.018160913162771887,0.01751600551399069,0.0046442391028538865
0.3,4320,90,82.93981481481481,0.06437962469451576,0.004513428852681136,0.009334002433250688,0.004496739342266885,0.018668004866501376,0.01815280629213379,0.005375735986684088
0.35,4320,90,82.93981481481481,0.06721944050275602,0.0045936630141242525,0.009666084757708282,0.004668594601104703,0.019332169515416563,0.018915256768300116,0.005908295344161096
0.4,4320,90,83.00925925925927,0.07047995571400349,0.004728030188082205,0.01020366396946702,0.004949057087787932,0.02040732793893404,0.019785406505078724,0.0056449754772899124
0.45,4320,90,82.82407407407408,0.07327554878251047,0.004885778513471628,0.010616148906886246,0.005152909859053331,0.02123229781377249,0.020765437155275002,0.006262117450479689
0.5,4320,90,82.68518518518519,0.07641547668678512,0.005043021165313998,0.011088370067357207,0.005400282416551352,0.022176740134714414,0.02186725301867496,0.006858390997516065
0.55,4320,90,82.93981481481481,0.07984522374118411,0.005216981896196476,0.011619511637008875,0.005672692392659952,0.02323902327401775,0.02306286965810579,0.007734937126327765
0.6,4320,90,83.2175925925926,0.08337431002173305,0.005396163918647033,0.012197941217868309,0.005977893635084809,0.024395882435736618,0.02436895315110007,0.008751092097968795
0.65,4320,90,82.80092592592592,0.08757042861626098,0.005542168822068384,0.01293708527507728,0.0063830077330845406,0.02587417055015456,0.025769918107964876,0.006117545203912889
0.7,4320,90,83.07870370370371,0.09151167984307113,0.005753964804350105,0.01361355038231319,0.006692282198967884,0.02722710076462638,0.027251502120038754,0.007105524263537222
0.75,4320,90,83.24074074074073,0.09532712362976123,0.00598972405948294,0.014330130278263329,0.007017412612503855,0.028660260556526658,0.028804063572739527,0.008382018759412573
0.8,4320,90,83.75,0.09992664190524132,0.006259069451283707,0.015079426798953879,0.007380305183820792,0.030158853597907757,0.030416150388263882,0.00989416814145877
0.85,4320,90,83.91203703703704,0.10496012593534436,0.006556976603967772,0.015884831165168412,0.007748381563681762,0.031769662330336824,0.032067019127821506,0.011701134155074393
0.9,4320,90,82.82407407407408,0.11210066966234102,0.0069263957210738015,0.01671222726845499,0.008383302492980011,0.03342445453690998,0.0337615854354905,0.007539273157518879
0.95,4320,90,83.07870370370371,0.11733261714169416,0.007269193123043592,0.017563404149543528,0.00875605225756198,0.035126808299087056,0.03549660641024398,0.009141795473688014
1.0,4320,90,83.33333333333334,0.12322616950554356,0.007633915080475399,0.018432153692012038,0.009087440303863109,0.036864307384024075,0.037265447759530765,0.009721566516299955
