settlement_date,market_index_vwap_gbp_per_mwh,system_price_mean_gbp_per_mwh,system_price_max_gbp_per_mwh,market_error_reduction_pct,market_settlement_improvement_gbp,market_restore_import_mwh,market_restore_export_mwh,market_restoration_net_cost_gbp,market_throughput_mwh,market_throughput_cost_gbp,market_net_value_improvement_gbp,arbitrage_gross_margin_gbp,arbitrage_net_margin_gbp,arbitrage_throughput_mwh,coopt_net_value_gbp,coopt_firming_value_gbp,coopt_arbitrage_value_gbp,coopt_throughput_mwh,coopt_error_reduction_pct,reactive_error_reduction_pct,reactive_settlement_improvement_gbp,reactive_restore_import_mwh,reactive_restore_export_mwh,reactive_restoration_net_cost_gbp,reactive_throughput_mwh,reactive_throughput_cost_gbp,reactive_net_value_improvement_gbp
2025-04-01,63.26930110517989,53.1659669577397,126.83,67.19698919638108,833.3272897132092,0.0,35.08719351869008,-2219.9422116697187,52.05045643029378,104.10091286058756,2949.1685885223405,11341.769926879528,10556.881346204687,392.44429033742006,12258.020988206017,412.06077316922165,12644.142134285854,399.0909596245295,64.22744074306685,100.0,-930.3705939384101,0.0,52.563139209815226,-3325.633081699287,77.45950682132198,154.91901364264396,2240.3434741182327
2025-04-02,46.69682167630121,55.8485396039604,144.5,76.29971380137285,2667.484483191703,0.0,27.10568305017684,-1265.7492478084482,54.678896838743825,109.35779367748765,3823.8759373226635,22368.191120597286,21477.74698436689,445.2220681151979,22622.903618706918,2683.4956375536735,20836.337706458224,448.46486265249024,63.137404970687264,100.0,877.7717123982239,0.0,42.39165065851286,-1979.5553513646319,71.66330529245052,143.32661058490103,2714.0004531779546
2025-04-03,101.2441564798674,107.70457658854166,175.12,48.049318599879484,-1358.2224105585126,0.0,18.36707568588448,-1859.5590848192562,24.5193764965923,49.0387529931846,452.2979212675591,8637.745471688446,7687.745471688446,475.0,7985.03929406747,-795.9749701448729,9732.51074933892,475.74824256328895,34.22858102345289,100.0,-4449.864885330054,0.0,42.22627948438618,-4275.164047679809,51.02960293937195,102.0592058787439,-276.7600435289884
2025-04-04,79.00892609423173,72.47446419291087,134.0,46.050047308640494,-540.4764589280214,0.0,20.036410558952078,-1583.055281045929,25.665528140891197,51.331056281782395,991.2477658361252,7184.842816344317,6505.509791225032,339.66651255964234,7359.812260970149,-552.324942768267,8616.220575648635,352.04168595510964,45.83745739489168,100.0,-3806.125167187465,0.0,45.8384582628087,-3621.647361159778,55.7339886512462,111.4679773024924,-295.94578333017955
2025-04-05,31.126739800661117,27.045156892892177,123.0,80.26211506126168,2939.5998550722948,0.0,25.166077326593726,-783.3379407482003,42.26383529454472,84.52767058908944,3638.4101252314053,20469.46553794965,19680.799487711083,394.33302511928457,20496.038194649114,2740.4554568440244,18553.32283409722,398.8700481460661,79.10737185047007,100.0,2326.6243498947397,0.0,33.892786418760444,-1054.9719439761373,52.6572658374203,105.3145316748406,3276.2817621960367
2025-04-06,44.86347459581518,29.29583706525298,137.24,67.95013082541324,514.4935453822409,0.0,28.85675580172487,-1294.6143308283258,37.92452665711852,75.84905331423704,1733.2588228963295,11971.646545731634,11123.42463172346,424.11095700408674,11812.07242540238,563.7096087002519,12096.584730710303,424.11095700408674,48.51433405811125,100.0,-334.5648061983625,0.0,38.22296468990451,-1714.8150053422714,55.81229380493672,111.62458760987344,1268.6256115340354
2025-04-07,84.09920066644135,88.15704070104083,185.0,54.44191178598883,919.0205857841564,4.018595514570342,0.0,337.96067057711235,19.80783249772304,39.61566499544608,541.444250211598,5160.784400888655,4365.340264658259,397.7220681151979,4725.201330801274,748.6816982252692,4776.335862353528,399.9081148887619,49.969836327378516,100.0,1881.6658797404402,21.201139511079536,0.0,1782.998886099496,36.383425651155754,72.76685130231151,25.900142338632648
2025-04-08,89.19697939516648,89.3757561813381,181.0,24.804924078168177,1474.9397376120237,12.49617120629118,0.0,1114.620725606027,11.246554085662062,22.493108171324124,337.82590383467254,3727.9070891421834,3096.0740640228987,315.9165125596423,3382.4844927994654,1625.2000541227123,2413.004583923038,327.86007262314246,28.45358392865477,100.0,3998.912412383136,50.37778453548898,0.0,4493.546209186147,45.34000608194005,90.6800121638801,-585.3138089668912
2025-04-09,89.15593822628911,89.24411180288398,123.791925,73.57955217141865,1215.2919704558672,9.666649067350223,0.0,861.8391671038917,20.97661746129649,41.95323492259298,311.4995684293824,1617.2500000000018,1142.2500000000018,237.49999999999997,1463.3153349511872,1121.5020485675514,861.4728985615188,259.8298060889415,68.79200766155711,100.0,1502.352008650898,14.484207229703507,0.0,1291.353085028216,28.508759352635316,57.01751870527063,153.9814049174114
2025-04-10,81.22756356401392,70.6786680128367,128.1,79.21072220671931,-476.82252376899334,0.0,20.192395147481125,-1640.1790603517093,39.356726789694505,78.71345357938901,1084.6430830033269,5525.191248752824,4680.74680430838,422.2222222222222,5395.88317509338,-199.46259322789777,6439.790212765722,422.2222222222222,70.7866234645747,100.0,-829.37331470879,0.0,21.72703766474276,-1764.834332970617,49.68611028060535,99.3722205612107,836.0887977006163
2025-04-11,77.17486327777326,74.04963178121692,119.12,44.848880133997504,660.0763753890421,5.907413234062138,0.0,455.9038086640538,16.697521784258566,33.39504356851713,170.77752315647115,4365.445324800314,3728.3345219032512,318.5554014485312,3794.07854192303,287.48611019359333,4156.728484280433,325.06802627549786,24.514088680185044,100.0,1131.7498903056198,18.08451089205375,0.0,1395.6696555396493,37.230632591873956,74.46126518374791,-338.38103041777737
2025-04-12,60.87410516741675,64.90250484496124,129.5,38.72768699030787,703.8408962343619,0.0,6.264207355153445,-381.32801732811635,17.12846214933107,34.25692429866214,1050.9119892638162,9629.966163588131,9012.466163588131,308.75,9481.935733395949,342.3979841462548,9776.062044976941,318.2621478636241,49.46298673723795,100.0,-299.73302554424026,0.0,13.945780489744449,-848.9369081744122,44.22795028687795,88.4559005737559,460.74798205641605
2025-04-13,65.44970557564346,55.45655580593666,130.0,44.662368255820105,1569.3177467275807,7.397463004437751,0.0,484.1617756471657,37.455578113040914,74.91115622608183,1010.2448148543331,6557.6312636563725,5704.131571870421,426.7498458929757,6197.8018577076255,701.2251749880716,6311.339121885143,407.3812195827944,31.95628337765286,100.0,312.678646176371,29.026796036222464,0.0,1899.795254375015,83.86384237060685,167.7276847412137,-1754.8442929398575
