settlement_date,evaluation_segment,perfect_foresight_margin_gbp,forecast_strategy_margin_gbp,naive_strategy_margin_gbp,reserve_aware_forecast_margin_gbp,reserve_corridor_feasible,mean_reserve_corridor_width_mwh
2025-05-01,development_oof,3132.9288452927794,2176.7415020968156,1826.1752496539182,2296.3468102239012,True,119.60153970841964
2025-05-02,development_oof,4447.261136132681,3054.9054246049027,2555.526556440631,2788.232624123648,True,119.79234004186982
2025-05-03,development_oof,7014.254111978029,3188.5251726407187,1334.959395333378,3233.1370380976114,True,115.03310881192353
2025-05-04,development_oof,7477.370789349419,4752.628961742502,6307.510059125085,3133.9015975565026,True,115.84114562970858
2025-05-05,development_oof,1275.8487543696385,-975.1258567130383,-2523.1423538821364,-954.0374554130333,True,119.0089699899933
2025-05-06,development_oof,4020.2337481443483,3308.188654625522,1838.4277678417213,3033.502759197653,True,123.23631226205309
2025-05-07,development_oof,4734.326590647077,3792.371234598845,4218.489057168979,3482.436356349977,True,121.91609491553167
2025-05-08,development_oof,3613.5879638409197,2635.161782164704,2402.5293258425154,2246.6078197234174,True,122.8573516775353
2025-05-09,development_oof,4256.294381138017,1445.345438759951,120.56310489156817,1667.38040622101,True,119.55151011951178
2025-05-10,development_oof,3660.88498426464,2152.3317150080047,2936.039534253036,2099.793514583621,True,116.75252301675162
2025-05-11,development_oof,4659.392228506916,1014.2300096931,1411.3846698879138,604.4606916804051,True,115.9954407816179
2025-05-12,development_oof,2769.7756342307694,252.7142992183343,-3920.06626874321,222.8604567106048,True,118.2344995381864
2025-05-13,development_oof,5151.541546584669,4433.406410484033,2305.575975983389,4017.1799472913835,True,117.87014949599846
2025-05-14,development_oof,1414.0833333333392,500.3119084120517,-159.01587208289106,687.383434743336,True,115.07610094903949
2025-05-15,development_oof,2551.9897737868027,-575.854764946735,556.0972222222279,-465.93118728474286,True,117.10047904535861
2025-05-16,development_oof,5627.253569765336,4816.2605119186,850.5494030986677,3986.5493413102754,True,117.48860439523305
2025-05-17,development_oof,9285.8232893314,6938.846877263313,6500.78247374187,6558.960188458719,True,119.32103839956285
2025-05-18,development_oof,5953.27063891499,5349.812098815125,5258.967232522193,4670.718211099704,True,119.26445989901231
2025-05-19,development_oof,3252.693207898177,2502.656233666781,2493.680446382534,1987.0944480963572,True,120.15181678980825
2025-05-20,development_oof,2430.445205124142,2119.5982004766333,1229.7495654378183,1795.2121045530887,True,122.10757425562339
2025-05-21,development_oof,4549.202003187069,3759.881559968382,3098.212952284231,3173.0441334380057,True,122.39852026505615
2025-05-22,development_oof,1160.0277777777806,628.5544875540982,-136.19012608287767,536.1913063446615,True,122.65995364829557
2025-05-23,development_oof,1359.05849652445,857.5376549388384,948.180555555558,645.1938108344384,True,121.02790937378767
2025-05-24,development_oof,9851.333521341765,3669.685879910261,1721.2290079974393,2375.5148981723173,True,112.33952938046188
2025-05-25,development_oof,6847.557155629404,4418.520463899787,2705.253048150432,3352.6076139314882,True,106.16569598886822
2025-05-26,development_oof,9712.609695433577,7990.492456930131,5607.677944008582,5818.0656172068275,True,106.72621951606838
2025-05-27,development_oof,7211.554035146253,-5386.843941348423,-5907.471144647541,-3403.673349601935,True,109.90534345351826
2025-05-28,development_oof,1246.375,455.53023866324696,-1199.3465853347607,545.3552184531763,True,114.34557140175927
2025-05-29,development_oof,12416.058060359117,7448.771499744091,2323.25,5930.527519178074,True,107.37370738550096
