target_date,settlement_period,valid_time_utc,zone,zone_underlying_demand_mw,zone_demand_share,national_demand_mw,national_embedded_wind_solar_mw,national_underlying_demand_proxy_mw,annual_consumption_gwh,annual_consumption_share,zone_daily_profile_share,profile_observations,publish_time_utc
2026-09-03T00:00:00,1,2026-09-02T23:00:00+0000,Birmingham,3264.1634957688007,0.13459285420748723,21770,2482.130731523037,24252.130731523037,32348.0176877,0.13130812512403575,0.01851811807129368,66,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,1,2026-09-02T23:00:00+0000,Bristol,1751.8850050272824,0.07223633355852621,21770,2482.130731523037,24252.130731523037,16781.7630635,0.06812107825024062,0.01915757909838246,66,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,1,2026-09-02T23:00:00+0000,Cardiff,1988.071049241089,0.08197510854817323,21770,2482.130731523037,24252.130731523037,18729.45612165,0.07602721723692794,0.019479569376366104,44,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,1,2026-09-02T23:00:00+0000,Edinburgh,1506.100666183666,0.06210178737928495,21770,2482.130731523037,24252.130731523037,16937.6618156,0.0687539075334771,0.01631823414651682,40,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,1,2026-09-02T23:00:00+0000,Inverness,390.91196845411565,0.01611866490336894,21770,2482.130731523037,24252.130731523037,4393.9896549000005,0.01783622566827993,0.0163264797631349,18,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,1,2026-09-02T23:00:00+0000,Leeds,2263.795427735485,0.09334418706530363,21770,2482.130731523037,24252.130731523037,23703.4700297,0.09621789621183369,0.017526607746855744,66,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,1,2026-09-02T23:00:00+0000,London,7889.589514075326,0.3253153135868759,21770,2482.130731523037,24252.130731523037,79800.8774024,0.32393031610547557,0.018143428546400726,110,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,1,2026-09-02T23:00:00+0000,Manchester,2988.6935576434144,0.12323426715487296,21770,2482.130731523037,24252.130731523037,31337.7470771,0.12720720181471523,0.017501941723960544,110,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,1,2026-09-02T23:00:00+0000,Newcastle,1148.0408089851267,0.04733772969040191,21770,2482.130731523037,24252.130731523037,12293.212011,0.0499010058823626,0.017138174936953045,44,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,1,2026-09-02T23:00:00+0000,Norwich,1060.8792384087294,0.043743753905705014,21770,2482.130731523037,24252.130731523037,10025.7933104,0.0406970261726516,0.019418685154521047,44,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,2,2026-09-02T23:30:00+0000,Birmingham,3271.80164156713,0.13526319458585476,21541,2647.410244077444,24188.410244077444,32348.0176877,0.13130812512403575,0.01838608125909706,66,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,2,2026-09-02T23:30:00+0000,Bristol,1777.7580367194853,0.07349627440500234,21541,2647.410244077444,24188.410244077444,16781.7630635,0.06812107825024062,0.019256836659126645,66,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,2,2026-09-02T23:30:00+0000,Cardiff,1977.6672173680884,0.08176094242705852,21541,2647.410244077444,24188.410244077444,18729.45612165,0.07602721723692794,0.01919454975906756,44,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,2,2026-09-02T23:30:00+0000,Edinburgh,1500.058894341752,0.062015604961431596,21541,2647.410244077444,24188.410244077444,16937.6618156,0.0687539075334771,0.01609921625700867,40,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,2,2026-09-02T23:30:00+0000,Inverness,434.62682816333256,0.01796839162961325,21541,2647.410244077444,24188.410244077444,4393.9896549000005,0.01783622566827993,0.01798073255916705,18,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,2,2026-09-02T23:30:00+0000,Leeds,2226.995118164029,0.09206868478300723,21541,2647.410244077444,24188.410244077444,23703.4700297,0.09621789621183369,0.01707879468623081,66,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,2,2026-09-02T23:30:00+0000,London,7837.69399900156,0.32402683433569707,21541,2647.410244077444,24188.410244077444,79800.8774024,0.32393031610547557,0.017853793953779448,110,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,2,2026-09-02T23:30:00+0000,Manchester,2968.719458222725,0.12273313658344366,21541,2647.410244077444,24188.410244077444,31337.7470771,0.12720720181471523,0.01722071855935744,110,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,2,2026-09-02T23:30:00+0000,Newcastle,1144.1281128165651,0.04730067421841855,21541,2647.410244077444,24188.410244077444,12293.212011,0.0499010058823626,0.016918395237567115,44,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,2,2026-09-02T23:30:00+0000,Norwich,1048.9609377127788,0.04336626207047311,21541,2647.410244077444,24188.410244077444,10025.7933104,0.0406970261726516,0.019019121369705707,44,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,3,2026-09-03T00:00:00+0000,Birmingham,3194.746985601101,0.1355126006992114,20832,2743.276167064905,23575.276167064905,32348.0176877,0.13130812512403575,0.018142038195716092,66,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,3,2026-09-03T00:00:00+0000,Bristol,1739.3089539684956,0.0737768220250307,20832,2743.276167064905,23575.276167064905,16781.7630635,0.06812107825024062,0.019038662160697627,66,2026-09-02T11:48:00+0000
