settlement_date,settlement_period,valid_time_utc,evaluation_segment,fold,wind_cf,solar_cf,wind_pred_cf,solar_pred_cf,wind_actual_mw,wind_forecast_mw,solar_actual_mw,solar_forecast_mw,embedded_wind_capacity_mw,embedded_solar_capacity_mw
2025-04-01T00:00:00,1,2025-03-31T23:00:00+0000,development_oof,1.0,0.1898274296094459,0.0,0.2224797904491424,0.0003370050690136,1253.9999999999995,1469.701495707035,0.0,6.787956100073643,6606,20142
2025-04-01T00:00:00,2,2025-03-31T23:30:00+0000,development_oof,1.0,0.1925522252497729,0.0,0.2271783351898193,0.0004521129303611,1271.9999999999998,1500.7400822639463,0.0,9.121378370036837,6606,20175
2025-04-01T00:00:00,3,2025-04-01T00:00:00+0000,development_oof,1.0,0.2002724795640326,0.0,0.2480976581573486,0.0004521129303611,1322.999999999999,1638.933129787445,0.0,9.121378370036837,6606,20175
2025-04-01T00:00:00,4,2025-04-01T00:30:00+0000,development_oof,1.0,0.2078413563427187,0.0,0.248799592256546,0.0005217347643338,1372.9999999999998,1643.570106446743,0.0,10.525998870434703,6606,20175
2025-04-01T00:00:00,5,2025-04-01T01:00:00+0000,development_oof,1.0,0.2113230396609143,0.0,0.2429393678903579,0.0005217347643338,1396.0,1604.8574642837048,0.0,10.525998870434703,6606,20175
2025-04-01T00:00:00,6,2025-04-01T01:30:00+0000,development_oof,1.0,0.2148047229791099,0.0,0.2475768029689788,0.0005217347643338,1419.0,1635.4923604130745,0.0,10.525998870434703,6606,20175
2025-04-01T00:00:00,7,2025-04-01T02:00:00+0000,development_oof,1.0,0.220708446866485,0.0,0.2503511905670166,0.0005217347643338,1458.0,1653.8199648857117,0.0,10.525998870434703,6606,20175
2025-04-01T00:00:00,8,2025-04-01T02:30:00+0000,development_oof,1.0,0.2266121707538601,0.0,0.2469310015439987,0.0004166302096564,1496.9999999999998,1631.2261961996555,0.0,8.405514479818521,6606,20175
2025-04-01T00:00:00,9,2025-04-01T03:00:00+0000,development_oof,1.0,0.2320617620345141,0.0,0.2338380217552185,0.0004166302096564,1533.0,1544.7339717149734,0.0,8.405514479818521,6606,20175
2025-04-01T00:00:00,10,2025-04-01T03:30:00+0000,development_oof,1.0,0.2373599757795943,0.0,0.2309647500514983,0.0004166302096564,1568.0,1525.7531388401983,0.0,8.405514479818521,6606,20175
2025-04-01T00:00:00,11,2025-04-01T04:00:00+0000,development_oof,1.0,0.2493188010899182,0.0,0.2344662249088287,0.0004113353497814,1646.9999999999995,1548.8838817477226,0.0,8.298690681840526,6606,20175
2025-04-01T00:00:00,12,2025-04-01T04:30:00+0000,development_oof,1.0,0.2612776264002422,0.0,0.2450364232063293,0.0004166302096564,1726.0,1618.7106117010117,0.0,8.405514479818521,6606,20175
2025-04-01T00:00:00,13,2025-04-01T05:00:00+0000,development_oof,1.0,0.271117166212534,0.0,0.2468898445367812,0.0004166302096564,1790.9999999999998,1630.954313009977,0.0,8.405514479818521,6606,20175
2025-04-01T00:00:00,14,2025-04-01T05:30:00+0000,development_oof,1.0,0.2808053284892522,0.000545229244114,0.2593697607517242,0.0011745514348149,1855.0,1713.3966395258904,10.99999999999995,23.69657519739121,6606,20175
2025-04-01T00:00:00,15,2025-04-01T06:00:00+0000,development_oof,1.0,0.2788374205267938,0.018537794299876,0.2603125870227813,0.011272843927145,1842.0,1719.6249498724935,373.9999999999983,227.4296262301505,6606,20175
2025-04-01T00:00:00,16,2025-04-01T06:30:00+0000,development_oof,1.0,0.2768695125643354,0.068451053283767,0.2679386436939239,0.0769315212965011,1828.9999999999995,1770.0026802420616,1380.999999999999,1552.093442156911,6606,20175
2025-04-01T00:00:00,17,2025-04-01T07:00:00+0000,development_oof,1.0,0.2656675749318801,0.132540272614622,0.2965396344661713,0.1519899666309356,1754.9999999999998,1958.940825283528,2673.999999999999,3066.397576779127,6606,20175
2025-04-01T00:00:00,18,2025-04-01T07:30:00+0000,development_oof,1.0,0.254314259763851,0.2048079306071871,0.2720496952533722,0.2214625924825668,1679.9999999999998,1797.1602868437767,4132.0,4468.007803335786,6606,20175
2025-04-01T00:00:00,19,2025-04-01T08:00:00+0000,development_oof,1.0,0.2549197699061459,0.2899628252788104,0.2426839172840118,0.2716324925422668,1683.9999999999998,1603.1699575781822,5850.0,5480.185537040234,6606,20175
2025-04-01T00:00:00,20,2025-04-01T08:30:00+0000,development_oof,1.0,0.255373902512867,0.3797769516728624,0.2068255990743637,0.3480833768844604,1686.9999999999995,1366.2899074852469,7661.999999999999,7022.58212864399,6606,20175
2025-04-01T00:00:00,21,2025-04-01T09:00:00+0000,development_oof,1.0,0.2735392067817136,0.4549194547707559,0.1952470541000366,0.4137015640735626,1807.0,1289.802039384842,9178.0,8346.429055184126,6606,20175
2025-04-01T00:00:00,22,2025-04-01T09:30:00+0000,development_oof,1.0,0.2915531335149863,0.5224783147459727,0.2227705121040344,0.4665899574756622,1925.9999999999995,1471.6220029592514,10541.0,9413.452392071486,6606,20175
