auction_id,product,family,direction,delivery_start_utc,delivery_end_utc,window_hours,cleared_volume_mw,clearing_price_gbp_per_mw_per_hour,minimum_mw,whole_mw,bm_required,response_seconds,energy_guard_hours
1112,NQR,Quick Reserve,downward,2025-04-01 05:00:00+00:00,2025-04-01 05:30:00+00:00,0.5,188,3.38,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 05:00:00+00:00,2025-04-01 05:30:00+00:00,0.5,396,9.27,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 05:30:00+00:00,2025-04-01 06:00:00+00:00,0.5,293,3.38,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 05:30:00+00:00,2025-04-01 06:00:00+00:00,0.5,248,16.48,1,True,False,60.0,1.0
1112,DCH,Dynamic Containment,downward,2025-04-01 06:00:00+00:00,2025-04-01 10:00:00+00:00,4.0,1134,0.88,1,True,False,1.0,0.25
1112,DCL,Dynamic Containment,upward,2025-04-01 06:00:00+00:00,2025-04-01 10:00:00+00:00,4.0,1243,6.38,1,True,False,1.0,0.25
1112,DMH,Dynamic Moderation,downward,2025-04-01 06:00:00+00:00,2025-04-01 10:00:00+00:00,4.0,300,0.0,1,True,False,1.0,0.5
1112,DML,Dynamic Moderation,upward,2025-04-01 06:00:00+00:00,2025-04-01 10:00:00+00:00,4.0,184,10.3,1,True,False,1.0,0.5
1112,DRH,Dynamic Regulation,downward,2025-04-01 06:00:00+00:00,2025-04-01 10:00:00+00:00,4.0,500,-5.5,1,True,False,10.0,1.0
1112,DRL,Dynamic Regulation,upward,2025-04-01 06:00:00+00:00,2025-04-01 10:00:00+00:00,4.0,431,14.86,1,True,False,10.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 06:00:00+00:00,2025-04-01 06:30:00+00:00,0.5,300,1.5,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 06:00:00+00:00,2025-04-01 06:30:00+00:00,0.5,229,26.88,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 06:30:00+00:00,2025-04-01 07:00:00+00:00,0.5,291,4.5,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 06:30:00+00:00,2025-04-01 07:00:00+00:00,0.5,256,10.15,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 07:00:00+00:00,2025-04-01 07:30:00+00:00,0.5,300,5.06,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 07:00:00+00:00,2025-04-01 07:30:00+00:00,0.5,250,21.14,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 07:30:00+00:00,2025-04-01 08:00:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 07:30:00+00:00,2025-04-01 08:00:00+00:00,0.5,185,22.72,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 08:00:00+00:00,2025-04-01 08:30:00+00:00,0.5,300,3.68,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 08:00:00+00:00,2025-04-01 08:30:00+00:00,0.5,230,18.66,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 08:30:00+00:00,2025-04-01 09:00:00+00:00,0.5,297,8.72,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 08:30:00+00:00,2025-04-01 09:00:00+00:00,0.5,251,7.27,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 09:00:00+00:00,2025-04-01 09:30:00+00:00,0.5,300,1.5,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 09:00:00+00:00,2025-04-01 09:30:00+00:00,0.5,247,21.2,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 09:30:00+00:00,2025-04-01 10:00:00+00:00,0.5,300,1.5,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 09:30:00+00:00,2025-04-01 10:00:00+00:00,0.5,246,21.18,1,True,False,60.0,1.0
1112,DCH,Dynamic Containment,downward,2025-04-01 10:00:00+00:00,2025-04-01 14:00:00+00:00,4.0,1298,8.69,1,True,False,1.0,0.25
1112,DCL,Dynamic Containment,upward,2025-04-01 10:00:00+00:00,2025-04-01 14:00:00+00:00,4.0,1281,4.36,1,True,False,1.0,0.25
1112,DMH,Dynamic Moderation,downward,2025-04-01 10:00:00+00:00,2025-04-01 14:00:00+00:00,4.0,296,5.74,1,True,False,1.0,0.5
1112,DML,Dynamic Moderation,upward,2025-04-01 10:00:00+00:00,2025-04-01 14:00:00+00:00,4.0,300,7.38,1,True,False,1.0,0.5
1112,DRH,Dynamic Regulation,downward,2025-04-01 10:00:00+00:00,2025-04-01 14:00:00+00:00,4.0,480,0.83,1,True,False,10.0,1.0
1112,DRL,Dynamic Regulation,upward,2025-04-01 10:00:00+00:00,2025-04-01 14:00:00+00:00,4.0,311,18.28,1,True,False,10.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 10:00:00+00:00,2025-04-01 10:30:00+00:00,0.5,298,9.26,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 10:00:00+00:00,2025-04-01 10:30:00+00:00,0.5,242,18.32,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 10:30:00+00:00,2025-04-01 11:00:00+00:00,0.5,298,8.76,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 10:30:00+00:00,2025-04-01 11:00:00+00:00,0.5,242,17.07,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 11:00:00+00:00,2025-04-01 11:30:00+00:00,0.5,300,3.38,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 11:00:00+00:00,2025-04-01 11:30:00+00:00,0.5,236,18.59,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 11:30:00+00:00,2025-04-01 12:00:00+00:00,0.5,297,5.91,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 11:30:00+00:00,2025-04-01 12:00:00+00:00,0.5,250,17.66,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 12:00:00+00:00,2025-04-01 12:30:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 12:00:00+00:00,2025-04-01 12:30:00+00:00,0.5,307,5.62,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 12:30:00+00:00,2025-04-01 13:00:00+00:00,0.5,293,16.5,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 12:30:00+00:00,2025-04-01 13:00:00+00:00,0.5,310,6.0,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 13:00:00+00:00,2025-04-01 13:30:00+00:00,0.5,300,2.25,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 13:00:00+00:00,2025-04-01 13:30:00+00:00,0.5,277,5.14,1,True,False,60.0,1.0
