settlement_date,settlement_period,valid_time_utc,embedded_wind_generation_mw,embedded_wind_capacity_mw,embedded_solar_generation_mw,embedded_solar_capacity_mw,wind_cf,solar_cf,wind_pred_cf,wind_pred_mw,solar_pred_cf,solar_pred_mw,wind_error_mw,solar_error_mw
2025-06-01,1,2025-05-31 23:00:00+00:00,1947,6606,0,20679,0.2947320617620345,0.0,0.29302987,1935.7553513646126,0.0,0.0,-11.24464863538742,0.0
2025-06-01,2,2025-05-31 23:30:00+00:00,1941,6606,0,20681,0.2938237965485922,0.0,0.29332173,1937.6833398342133,0.0,0.0,-3.316660165786743,0.0
2025-06-01,3,2025-06-01 00:00:00+00:00,1905,6606,0,20681,0.2883742052679382,0.0,0.29553363,1952.2951417565346,0.0,0.0,47.295141756534576,0.0
2025-06-01,4,2025-06-01 00:30:00+00:00,1869,6606,0,20681,0.2829246139872843,0.0,0.2909035,1921.7085782289505,0.0,0.0,52.7085782289505,0.0
2025-06-01,5,2025-06-01 01:00:00+00:00,2001,6606,0,20681,0.3029064486830154,0.0,0.29416472,1943.2521218061447,0.0,0.0,-57.747878193855286,0.0
2025-06-01,6,2025-06-01 01:30:00+00:00,2132,6606,0,20681,0.3227369058431729,0.0,0.3090258,2041.424396932125,0.0,0.0,-90.57560306787491,0.0
2025-06-01,7,2025-06-01 02:00:00+00:00,2109,6606,0,20681,0.3192552225249773,0.0,0.32900345,2173.3968122005463,0.0,0.0,64.39681220054626,0.0
2025-06-01,8,2025-06-01 02:30:00+00:00,2086,6606,0,20681,0.3157735392067817,0.0,0.32827407,2168.578514456749,0.0,0.0,82.57851445674896,0.0
2025-06-01,9,2025-06-01 03:00:00+00:00,2079,6606,0,20681,0.3147138964577656,0.0,0.3547245,2343.310024559498,0.0,0.0,264.31002455949783,0.0
2025-06-01,10,2025-06-01 03:30:00+00:00,2071,6606,0,20681,0.3135028761731759,0.0,0.3443788,2274.966347515583,1.7530074096454474e-06,0.036253946238877496,203.96634751558304,0.036253946238877496
2025-06-01,11,2025-06-01 04:00:00+00:00,2077,6606,76,20681,0.3144111413866182,0.0036748706542236,0.34760216,2296.259860932827,0.002462483562378129,50.92662255354209,219.259860932827,-25.07337744645791
2025-06-01,12,2025-06-01 04:30:00+00:00,2083,6606,442,20681,0.3153194066000605,0.0213722740679851,0.34002218,2246.1864979863167,0.020880688304623463,431.83351482791784,163.18649798631668,-10.166485172082162
2025-06-01,13,2025-06-01 05:00:00+00:00,2186,6606,1051,20681,0.3309112927641538,0.0508195928630143,0.32775632,2165.1582199931145,0.049248934615281986,1018.5172167786468,-20.84178000688553,-32.4827832213532
2025-06-01,14,2025-06-01 05:30:00+00:00,2288,6606,1818,20681,0.3463518013926733,0.0879067743339297,0.3165999,2091.458975672722,0.08662459411166036,1791.4832308232478,-196.54102432727814,-26.516769176752177
2025-06-01,15,2025-06-01 06:00:00+00:00,2455,6606,2775,20681,0.3716318498334847,0.1341811324404042,0.30667102,2025.868780374527,0.12518165698036496,2588.8818480109276,-429.131219625473,-186.11815198907243
2025-06-01,16,2025-06-01 06:30:00+00:00,2621,6606,3682,20681,0.3967605207387223,0.1780378124848895,0.3810713,2517.3570032715797,0.17095634395818368,3535.5481493991965,-103.64299672842026,-146.45185060080348
2025-06-01,17,2025-06-01 07:00:00+00:00,2754,6606,4820,20681,0.4168937329700272,0.2330641651757652,0.4452125,2941.0738622546196,0.22909933799435098,4738.0034090611725,187.0738622546196,-81.99659093882747
2025-06-01,18,2025-06-01 07:30:00+00:00,2887,6606,5787,20681,0.4370269452013321,0.2798220588946375,0.47233054,3120.215550005436,0.28135911902816396,5818.787940621459,233.21555000543594,31.7879406214588
2025-06-01,19,2025-06-01 08:00:00+00:00,2964,6606,6531,20681,0.4486830154405086,0.3157971084570378,0.53461844,3531.689396739006,0.33338349588896676,6894.704078479722,567.689396739006,363.70407847972183
2025-06-01,20,2025-06-01 08:30:00+00:00,3041,6606,7367,20681,0.4603390856796851,0.3562206856534984,0.5307215,3505.9461339712143,0.3696641953944407,7645.025224952427,464.9461339712143,278.0252249524274
2025-06-01,21,2025-06-01 09:00:00+00:00,3153,6606,8413,20681,0.4772933696639418,0.4067985107103138,0.5318714,3513.5423258543015,0.3832521690848234,7926.038108843233,360.54232585430145,-486.9618911567668
2025-06-01,22,2025-06-01 09:30:00+00:00,3264,6606,8592,20681,0.4940962761126249,0.4154537981722354,0.5544126,3662.4496579170227,0.40814596077467413,8440.866614781036,398.4496579170227,-151.13338521896367
2025-06-01,23,2025-06-01 10:00:00+00:00,3362,6606,8901,20681,0.5089312745988496,0.430395048595329,0.59018445,3898.7584776878357,0.4553939162107429,9418.001581154373,536.7584776878357,517.0015811543726
2025-06-01,24,2025-06-01 10:30:00+00:00,3459,6606,9511,20681,0.5236148955495005,0.4598907209515981,0.6003563,3965.953590989113,0.45735125457640513,9458.481295894635,506.95359098911285,-52.51870410536503
2025-06-01,25,2025-06-01 11:00:00+00:00,3491,6606,9286,20681,0.5284589766878596,0.4490111696726463,0.62623,4136.875389575958,0.4924097269142842,10183.525562314311,645.8753895759583,897.5255623143112
2025-06-01,26,2025-06-01 11:30:00+00:00,3522,6606,9449,20681,0.5331516802906449,0.4568928001547314,0.6289512,4154.851573705673,0.5004356463385566,10349.50960192769,632.8515737056732,900.5096019276898
2025-06-01,27,2025-06-01 12:00:00+00:00,3597,6606,9469,20681,0.5445049954586739,0.4578598713795271,0.62132734,4104.488412022591,0.5036915816295392,10416.8455996805,507.48841202259064,947.8455996805005
2025-06-01,28,2025-06-01 12:30:00+00:00,3671,6606,9111,20681,0.5557069330911293,0.4405492964556839,0.6262538,4137.032495141029,0.4923694053316913,10182.691671664708,466.03249514102936,1071.6916716647083
2025-06-01,29,2025-06-01 13:00:00+00:00,3760,6606,8642,20681,0.5691795337571904,0.4178714762342246,0.6383956,4217.241382956505,0.46680483264811934,9653.990743995757,457.2413829565048,1011.9907439957569
