auction_id,product,family,direction,delivery_start_utc,delivery_end_utc,window_hours,cleared_volume_mw,clearing_price_gbp_per_mw_per_hour,availability_payment_per_mw_gbp,minimum_mw,whole_mw,bm_required,response_seconds,energy_guard_hours
2661,PBR,Balancing Reserve,upward,2026-04-01 00:00:00+00:00,2026-04-01 00:30:00+00:00,0.5,200,0.5,0.25,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 00:00:00+00:00,2026-04-01 00:30:00+00:00,0.5,301,1.25,0.625,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 00:00:00+00:00,2026-04-01 00:30:00+00:00,0.5,1797,6.89,3.445,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 00:30:00+00:00,2026-04-01 01:00:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 00:30:00+00:00,2026-04-01 01:00:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 00:30:00+00:00,2026-04-01 01:00:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 00:30:00+00:00,2026-04-01 01:00:00+00:00,0.5,200,0.5,0.25,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 00:30:00+00:00,2026-04-01 01:00:00+00:00,0.5,302,1.26,0.63,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 00:30:00+00:00,2026-04-01 01:00:00+00:00,0.5,1797,6.89,3.445,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 01:00:00+00:00,2026-04-01 01:30:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 01:00:00+00:00,2026-04-01 01:30:00+00:00,0.5,300,1.05,0.525,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 01:00:00+00:00,2026-04-01 01:30:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 01:00:00+00:00,2026-04-01 01:30:00+00:00,0.5,200,0.77,0.385,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 01:00:00+00:00,2026-04-01 01:30:00+00:00,0.5,302,1.4,0.7,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 01:00:00+00:00,2026-04-01 01:30:00+00:00,0.5,1797,6.89,3.445,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 01:30:00+00:00,2026-04-01 02:00:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 01:30:00+00:00,2026-04-01 02:00:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 01:30:00+00:00,2026-04-01 02:00:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 01:30:00+00:00,2026-04-01 02:00:00+00:00,0.5,200,1.0,0.5,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 01:30:00+00:00,2026-04-01 02:00:00+00:00,0.5,300,6.73,3.365,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 01:30:00+00:00,2026-04-01 02:00:00+00:00,0.5,1775,5.85,2.925,1,True,False,900.0,1.0
2661,DCH,Dynamic Containment,downward,2026-04-01 02:00:00+00:00,2026-04-01 06:00:00+00:00,4.0,1139,2.96,11.84,1,True,False,1.0,0.25
2661,DCL,Dynamic Containment,upward,2026-04-01 02:00:00+00:00,2026-04-01 06:00:00+00:00,4.0,1106,2.24,8.96,1,True,False,1.0,0.25
2661,DMH,Dynamic Moderation,downward,2026-04-01 02:00:00+00:00,2026-04-01 06:00:00+00:00,4.0,510,0.94,3.76,1,True,False,1.0,0.5
2661,DML,Dynamic Moderation,upward,2026-04-01 02:00:00+00:00,2026-04-01 06:00:00+00:00,4.0,500,6.51,26.04,1,True,False,1.0,0.5
2661,DRH,Dynamic Regulation,downward,2026-04-01 02:00:00+00:00,2026-04-01 06:00:00+00:00,4.0,499,-7.68,-30.72,1,True,False,10.0,1.0
2661,DRL,Dynamic Regulation,upward,2026-04-01 02:00:00+00:00,2026-04-01 06:00:00+00:00,4.0,480,19.72,78.88,1,True,False,10.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 02:00:00+00:00,2026-04-01 02:30:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 02:00:00+00:00,2026-04-01 02:30:00+00:00,0.5,292,5.0,2.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 02:00:00+00:00,2026-04-01 02:30:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 02:00:00+00:00,2026-04-01 02:30:00+00:00,0.5,400,3.65,1.825,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 02:00:00+00:00,2026-04-01 02:30:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 02:00:00+00:00,2026-04-01 02:30:00+00:00,0.5,1796,2.36,1.18,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 02:30:00+00:00,2026-04-01 03:00:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 02:30:00+00:00,2026-04-01 03:00:00+00:00,0.5,288,11.45,5.725,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 02:30:00+00:00,2026-04-01 03:00:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 02:30:00+00:00,2026-04-01 03:00:00+00:00,0.5,400,3.65,1.825,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 02:30:00+00:00,2026-04-01 03:00:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 02:30:00+00:00,2026-04-01 03:00:00+00:00,0.5,1796,2.36,1.18,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 03:00:00+00:00,2026-04-01 03:30:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 03:00:00+00:00,2026-04-01 03:30:00+00:00,0.5,217,9.97,4.985,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 03:00:00+00:00,2026-04-01 03:30:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 03:00:00+00:00,2026-04-01 03:30:00+00:00,0.5,400,3.65,1.825,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 03:00:00+00:00,2026-04-01 03:30:00+00:00,0.5,291,5.0,2.5,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 03:00:00+00:00,2026-04-01 03:30:00+00:00,0.5,1819,0.0,0.0,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 03:30:00+00:00,2026-04-01 04:00:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 03:30:00+00:00,2026-04-01 04:00:00+00:00,0.5,203,12.66,6.33,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 03:30:00+00:00,2026-04-01 04:00:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 03:30:00+00:00,2026-04-01 04:00:00+00:00,0.5,400,3.65,1.825,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 03:30:00+00:00,2026-04-01 04:00:00+00:00,0.5,300,5.22,2.61,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 03:30:00+00:00,2026-04-01 04:00:00+00:00,0.5,1819,0.0,0.0,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 04:00:00+00:00,2026-04-01 04:30:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 04:00:00+00:00,2026-04-01 04:30:00+00:00,0.5,157,12.49,6.245,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 04:00:00+00:00,2026-04-01 04:30:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 04:00:00+00:00,2026-04-01 04:30:00+00:00,0.5,400,4.21,2.105,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 04:00:00+00:00,2026-04-01 04:30:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 04:00:00+00:00,2026-04-01 04:30:00+00:00,0.5,1800,5.37,2.685,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 04:30:00+00:00,2026-04-01 05:00:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 04:30:00+00:00,2026-04-01 05:00:00+00:00,0.5,157,12.75,6.375,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 04:30:00+00:00,2026-04-01 05:00:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 04:30:00+00:00,2026-04-01 05:00:00+00:00,0.5,400,3.15,1.575,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 04:30:00+00:00,2026-04-01 05:00:00+00:00,0.5,480,5.08,2.54,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 04:30:00+00:00,2026-04-01 05:00:00+00:00,0.5,1816,7.5,3.75,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 05:00:00+00:00,2026-04-01 05:30:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 05:00:00+00:00,2026-04-01 05:30:00+00:00,0.5,157,9.18,4.59,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 05:00:00+00:00,2026-04-01 05:30:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 05:00:00+00:00,2026-04-01 05:30:00+00:00,0.5,400,2.77,1.385,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 05:00:00+00:00,2026-04-01 05:30:00+00:00,0.5,500,1.0,0.5,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 05:00:00+00:00,2026-04-01 05:30:00+00:00,0.5,1539,10.5,5.25,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 05:30:00+00:00,2026-04-01 06:00:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 05:30:00+00:00,2026-04-01 06:00:00+00:00,0.5,299,5.0,2.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 05:30:00+00:00,2026-04-01 06:00:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 05:30:00+00:00,2026-04-01 06:00:00+00:00,0.5,400,2.77,1.385,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 05:30:00+00:00,2026-04-01 06:00:00+00:00,0.5,500,5.03,2.515,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 05:30:00+00:00,2026-04-01 06:00:00+00:00,0.5,1539,10.41,5.205,1,True,False,900.0,1.0
2661,DCH,Dynamic Containment,downward,2026-04-01 06:00:00+00:00,2026-04-01 10:00:00+00:00,4.0,1023,0.81,3.24,1,True,False,1.0,0.25
2661,DCL,Dynamic Containment,upward,2026-04-01 06:00:00+00:00,2026-04-01 10:00:00+00:00,4.0,1130,5.04,20.16,1,True,False,1.0,0.25
2661,DMH,Dynamic Moderation,downward,2026-04-01 06:00:00+00:00,2026-04-01 10:00:00+00:00,4.0,530,-2.42,-9.68,1,True,False,1.0,0.5
2661,DML,Dynamic Moderation,upward,2026-04-01 06:00:00+00:00,2026-04-01 10:00:00+00:00,4.0,500,9.8,39.2,1,True,False,1.0,0.5
2661,DRH,Dynamic Regulation,downward,2026-04-01 06:00:00+00:00,2026-04-01 10:00:00+00:00,4.0,500,-13.22,-52.88,1,True,False,10.0,1.0
2661,DRL,Dynamic Regulation,upward,2026-04-01 06:00:00+00:00,2026-04-01 10:00:00+00:00,4.0,480,32.77,131.08,1,True,False,10.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 06:00:00+00:00,2026-04-01 06:30:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 06:00:00+00:00,2026-04-01 06:30:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 06:00:00+00:00,2026-04-01 06:30:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 06:00:00+00:00,2026-04-01 06:30:00+00:00,0.5,600,6.8,3.4,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 06:00:00+00:00,2026-04-01 06:30:00+00:00,0.5,250,12.7,6.35,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 06:00:00+00:00,2026-04-01 06:30:00+00:00,0.5,1539,9.73,4.865,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 06:30:00+00:00,2026-04-01 07:00:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 06:30:00+00:00,2026-04-01 07:00:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 06:30:00+00:00,2026-04-01 07:00:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 06:30:00+00:00,2026-04-01 07:00:00+00:00,0.5,600,19.4,9.7,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 06:30:00+00:00,2026-04-01 07:00:00+00:00,0.5,250,21.1,10.55,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 06:30:00+00:00,2026-04-01 07:00:00+00:00,0.5,1539,9.64,4.82,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 07:00:00+00:00,2026-04-01 07:30:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 07:00:00+00:00,2026-04-01 07:30:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 07:00:00+00:00,2026-04-01 07:30:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 07:00:00+00:00,2026-04-01 07:30:00+00:00,0.5,600,19.4,9.7,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 07:00:00+00:00,2026-04-01 07:30:00+00:00,0.5,250,15.08,7.54,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 07:00:00+00:00,2026-04-01 07:30:00+00:00,0.5,1539,8.94,4.47,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 07:30:00+00:00,2026-04-01 08:00:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
