target_date,settlement_period,valid_time_local,valid_time_utc,zone,wind_share,solar_share,zone_wind_forecast_mw,zone_solar_forecast_mw,zone_total_forecast_mw,zone_wind_capacity_proxy_mw,zone_solar_capacity_proxy_mw,zone_total_capacity_proxy_mw,wind_capacity_proxy_share,solar_capacity_proxy_share
2026-09-03,1,2026-09-03T00:00:00+0100,2026-09-02T23:00:00+0000,Birmingham,0.013588625580759902,0.1435022969711127,33.728745153164226,0.0,33.728745153164226,78.90053508405734,3438.7455423187716,3517.646077402829,0.012295548556032,0.1435022969711126
2026-09-03,1,2026-09-03T00:00:00+0100,2026-09-02T23:00:00+0000,Bristol,0.004144028231347124,0.21117111175233944,10.286019825325754,0.0,10.286019825325754,13.975940192022906,5060.293350921306,5074.269291113329,0.0021779554608108,0.2111711117523393
2026-09-03,1,2026-09-03T00:00:00+0100,2026-09-02T23:00:00+0000,Cardiff,0.10839645222575446,0.1764504353481641,269.0541652576139,0.0,269.0541652576139,226.02906910553648,4228.281782248054,4454.31085135359,0.0352234796798405,0.176450435348164
2026-09-03,1,2026-09-03T00:00:00+0100,2026-09-02T23:00:00+0000,Edinburgh,0.29090189675586864,0.006686178325569805,722.0565377960831,0.0,722.0565377960831,1726.8968160601114,160.22089121562914,1887.1177072757405,0.2691127966433086,0.0066861783255698
2026-09-03,1,2026-09-03T00:00:00+0100,2026-09-02T23:00:00+0000,Inverness,0.005117016099812675,0.0010772634211357007,12.701102915043192,0.0,12.701102915043192,1309.65147432735,25.81446336067478,1335.4659376880247,0.2040909263405563,0.0010772634211357
2026-09-03,1,2026-09-03T00:00:00+0100,2026-09-02T23:00:00+0000,Leeds,0.020711196485805387,0.05912307459774374,51.407897284029474,0.0,51.407897284029474,153.03654510265233,1416.7662365857323,1569.8027816883846,0.0238486122958785,0.0591230745977437
2026-09-03,1,2026-09-03T00:00:00+0100,2026-09-02T23:00:00+0000,London,0.05182688402340383,0.23873110094306366,128.64110155357093,0.0,128.64110155357093,418.5794087510907,5720.713371898631,6139.292780649721,0.0652297660512842,0.2387311009430635
2026-09-03,1,2026-09-03T00:00:00+0100,2026-09-02T23:00:00+0000,Manchester,0.07002761111365384,0.04184747012563493,173.81768560034436,0.0,173.81768560034436,693.3972145269629,1002.7909266205892,1696.188141147552,0.1080562902488644,0.0418474701256349
2026-09-03,1,2026-09-03T00:00:00+0100,2026-09-02T23:00:00+0000,Newcastle,0.019144652073403386,0.01624963930912231,47.51952925571077,0.0,47.51952925571077,190.40100944935656,389.39010676449766,579.7911162138543,0.0296713432210311,0.0162496393091223
2026-09-03,1,2026-09-03T00:00:00+0100,2026-09-02T23:00:00+0000,Norwich,0.4161416374101907,0.10516142920611367,1032.917946882151,0.0,1032.917946882151,1606.1319874008573,2519.9833280661,4126.115315466957,0.2502932815023932,0.1051614292061136
2026-09-03,2,2026-09-03T00:30:00+0100,2026-09-02T23:30:00+0000,Birmingham,0.012636870351832332,0.1435022969711127,33.45498002251945,0.0,33.45498002251945,78.90053508405734,3438.7455423187716,3517.646077402829,0.012295548556032,0.1435022969711126
2026-09-03,2,2026-09-03T00:30:00+0100,2026-09-02T23:30:00+0000,Bristol,0.0036281739483670574,0.21117111175233944,9.605264878201856,0.0,9.605264878201856,13.975940192022906,5060.293350921306,5074.269291113329,0.0021779554608108,0.2111711117523393
2026-09-03,2,2026-09-03T00:30:00+0100,2026-09-02T23:30:00+0000,Cardiff,0.09109165720385509,0.1764504353481641,241.15698643147687,0.0,241.15698643147687,226.02906910553648,4228.281782248054,4454.31085135359,0.0352234796798405,0.176450435348164
2026-09-03,2,2026-09-03T00:30:00+0100,2026-09-02T23:30:00+0000,Edinburgh,0.3629739694771423,0.006686178325569805,960.9410051272399,0.0,960.9410051272399,1726.8968160601114,160.22089121562914,1887.1177072757405,0.2691127966433086,0.0066861783255698
2026-09-03,2,2026-09-03T00:30:00+0100,2026-09-02T23:30:00+0000,Inverness,0.008268743173917218,0.0010772634211357007,21.89075538427388,0.0,21.89075538427388,1309.65147432735,25.81446336067478,1335.4659376880247,0.2040909263405563,0.0010772634211357
2026-09-03,2,2026-09-03T00:30:00+0100,2026-09-02T23:30:00+0000,Leeds,0.019662675494874764,0.05912307459774374,52.05516853110198,0.0,52.05516853110198,153.03654510265233,1416.7662365857323,1569.8027816883846,0.0238486122958785,0.0591230745977437
2026-09-03,2,2026-09-03T00:30:00+0100,2026-09-02T23:30:00+0000,London,0.04567876581368091,0.23873110094306366,120.93043255195339,0.0,120.93043255195339,418.5794087510907,5720.713371898631,6139.292780649721,0.0652297660512842,0.2387311009430635
2026-09-03,2,2026-09-03T00:30:00+0100,2026-09-02T23:30:00+0000,Manchester,0.06775528375194853,0.04184747012563493,179.37603229528253,0.0,179.37603229528253,693.3972145269629,1002.7909266205892,1696.188141147552,0.1080562902488644,0.0418474701256349
2026-09-03,2,2026-09-03T00:30:00+0100,2026-09-02T23:30:00+0000,Newcastle,0.021596491248316682,0.01624963930912231,57.17477216692245,0.0,57.17477216692245,190.40100944935656,389.39010676449766,579.7911162138543,0.0296713432210311,0.0162496393091223
