simulation,annual_market_value_gbp,availability_fraction,available_days,capex_multiplier,fixed_opex_multiplier,degradation_multiplier,debt_rate_multiplier,project_npv_gbp,equity_npv_gbp,project_irr_fraction,equity_irr_fraction,minimum_dscr,llcr,dscr_breach,equity_irr_below_hurdle
1,972544.1205163434,0.943350378684159,339,1.0827497947607008,0.9692832133902168,1.0753518833367737,1.137719992022221,-24020448.221887853,-21179110.436947856,-0.18109997383094317,-0.3834797987959985,0.1373499273778609,0.17846950658587793,True,True
2,1115436.1321237253,0.9708522388445074,351,1.0859786980641166,1.0331532781578854,0.9947796246397164,1.1573034260177455,-23272968.93168794,-20630053.392828476,-0.15817025743781915,-0.3416378412260023,0.17910091642607542,0.22280389473984777,True,True
3,1181386.0874328925,0.9427605133073305,343,1.005788077714942,0.9639252385223277,1.1097577027035554,0.9075625860235662,-20620869.066827763,-17486009.415712185,-0.13776658684418364,-0.2960671842166483,0.24211645996489004,0.2998640152299285,True,True
4,961680.5410609557,0.9406483204268609,344,1.087853820719091,0.9915320913702416,1.173275683802164,0.9325967785250522,-24383490.226408012,-20745978.82478881,-0.19133503364503923,-0.3970475581487004,0.1291497860510431,0.17457846641252228,True,True
5,1037350.8901572647,0.934969974122202,334,1.0525284142648261,0.965790213372749,1.1379042403119466,1.0504931606051386,-22838415.701135132,-19847352.944806624,-0.1675851918898377,-0.35689106263152176,0.16559609128260147,0.21381032031378905,True,True
6,1132030.3627261836,0.9274948427181895,337,1.0260589932031403,1.1337729928643008,0.9369669264549515,0.9261915391066999,-22007705.0646911,-18725173.38619324,-0.1590221356302401,-0.33436783213329035,0.1894649722513322,0.23592694192325753,True,True
7,1032091.4950762689,0.9783490575219667,357,1.0956847501056624,1.0986403918863132,1.0425653207756551,1.0252413439135974,-24411044.86252335,-21108156.068217542,-0.18508511526332289,-0.387496441379552,0.13537981214305245,0.17822256887285431,True,True
8,1034180.7512032904,0.9717906155579752,351,1.084924168711449,0.9829310775713429,1.0358775038861734,1.0371098580229137,-23660692.370008316,-20520411.281361308,-0.16887030554918106,-0.3566636426100326,0.16340040777531445,0.20641113296403732,True,True
9,1151427.0699379626,0.9607165533902171,353,0.9305013492801686,0.9447468220678442,0.8740177020472473,1.0859918794991463,-18670108.209988758,-16399015.335384995,-0.12590998244049073,-0.2788645640783385,0.26251599362400607,0.30998546078747724,True,True
10,975325.0222183566,0.9905636222843369,363,0.9719840614351368,1.0387820467667368,1.0512349409797765,0.9818708132160427,-21491070.525529545,-18445468.794189874,-0.18045048193071028,-0.37835791782103406,0.14520716228191838,0.1915629924353773,True,True
11,1061731.9508253708,0.9452020510695834,348,0.9541144018234824,1.0734826333110972,1.0561013497284906,1.2098058498017155,-20570832.121820685,-18383503.20808721,-0.1644540237232861,-0.35833724877948947,0.16458611987275262,0.2140525018558819,True,True
12,1153101.645217673,0.9407358090216836,347,0.9445925679976226,0.9623986906989328,0.9768964444308561,0.8722740355571432,-19170748.701570176,-16160569.510365544,-0.13195819857941063,-0.2822085036188979,0.2609550680846466,0.31488750609603067,True,True
13,1243308.877107105,0.9141653673771025,342,0.9131342540116657,0.9684743249277145,1.1038637334957526,1.0573378853467796,-17878702.537069675,-15609644.381985664,-0.119700495983108,-0.27033417130409493,0.2816697805446925,0.3464308105311012,True,True
14,1008025.6478534178,0.9149778406870154,327,1.0198798940589469,0.9712524782704679,0.8439916339805568,0.9567238257110156,-22028011.618567783,-18856700.360633127,-0.1602165081756651,-0.3347171114192919,0.18470375878918918,0.22234088083048004,True,True
15,1076860.5391405215,0.9365915340180497,331,1.1870321176930614,1.0375382477281971,0.9412921544758239,1.054546931503975,-26049781.6811697,-22666690.793317616,-0.17093881577917552,-0.35903756802043696,0.15824720366486753,0.1956868053237925,True,True
16,978959.9463613936,0.9535722150667748,346,0.9026882734933435,1.0682730196495112,1.0770594966291542,1.0738402742553275,-19869169.522712868,-17320567.027383152,-0.17925740382536298,-0.38191383404877977,0.14404493132573615,0.19435840312038696,True,True
17,1038384.6703685345,0.904366615950417,328,1.0883633063765483,1.0070218830984352,0.8715347973694602,1.0072618020624016,-23683551.20959997,-20448830.25772132,-0.16490294834105076,-0.34550422684052656,0.1722615598667113,0.2093129830882891,True,True
18,909339.1344938988,0.9343196289902277,337,1.0344695351947264,0.9959407129382718,1.0148729707903696,0.9078342653265687,-23327859.34132415,-19772862.457404874,-0.1937232406848939,-0.39796165743026185,0.1257050683007857,0.16561772346994977,True,True
19,1060038.4926380548,0.9336888844976812,342,0.9840201759325486,0.9058141300071568,1.0860960856136141,0.9773218869818286,-20685795.83183406,-17764070.96650409,-0.14902494610559114,-0.3189508055296654,0.20928993569771967,0.260564346166204,True,True
20,1014964.0444145334,0.9699918708632236,354,0.9834255269967394,1.1107031743103315,0.9020722805751795,1.0461163679960572,-21667173.13838974,-18815400.32101057,-0.1754676629870404,-0.36903962348758224,0.1508007252181146,0.1918512072118376,True,True
21,1198825.7706627236,0.9631420734501002,356,0.9636142977873471,0.9905035877895306,1.1718905211839252,1.0682482431408098,-19603840.580408666,-17120981.580380093,-0.1357468955277987,-0.30103796491447193,0.23632158425238436,0.29857161685895234,True,True
22,1028986.7481883587,0.9477262090295319,352,1.063895865639027,1.0839708552483533,0.989689559592095,1.0749467905457026,-23539179.268696874,-20536505.395438336,-0.17902726060466329,-0.37725451827572365,0.14338757047381445,0.18498566323464719,True,True
23,1043034.1537486431,0.9561626679023792,348,0.8647782999124638,1.0547202438772416,1.154484993693711,1.1030321773949106,-18471776.052035026,-16195642.532559505,-0.16182379992567641,-0.3527066733904416,0.17520843215629958,0.23438400360315947,True,True
24,908914.5470211054,0.9312146287879043,343,0.9481783204713168,0.9550539397551816,1.1290780539838816,1.0958171429671075,-21087851.996832013,-18449517.519473072,-0.18568322890802696,-0.393244535551015,0.13221662693890504,0.17839578960650734,True,True
25,1040471.5494944414,0.9484179679012245,347,0.9803412250217314,1.0504751585979104,0.9729111267820099,1.029965488271296,-21221262.068383895,-18383805.4692993,-0.16479933401614122,-0.34958582211753486,0.17199883243432548,0.21733266805663537,True,True
26,1034101.2777999912,0.9865422183538917,360,0.9915733442904502,1.1030339129149265,0.9531255208185183,0.9795720529276756,-21741888.46540814,-18663316.343339868,-0.17305734478990828,-0.36291115409181723,0.1583345111919001,0.20248374695214577,True,True
27,989629.2396798476,0.9225823448651529,328,0.9891089149171866,0.9788822593593518,0.9775944552256066,0.9757519498957827,-21523810.151058853,-18470512.957220048,-0.1673306409914017,-0.3512869127651244,0.16936565331316586,0.2127299360587628,True,True
28,1203920.0511062387,0.9338367047456377,348,0.8907897303820135,0.9805946696861615,0.9893077079939367,0.9546120202444277,-17544540.234926388,-15024656.423150368,-0.12066613971607248,-0.2659710772894421,0.2876192458780186,0.34706450980925685,True,True
29,1092672.8611003263,0.9219359151891064,334,0.9742223627074108,0.9949905771472335,0.9736347705092285,1.0243368482792012,-20472678.783855878,-17736631.886177488,-0.14797155207344925,-0.31800154567880884,0.20904888874009686,0.25703918612367416,True,True
30,1161247.873710405,0.974336447710084,358,1.0472785749239946,0.9975520970368159,1.1390618359645486,1.0529975210069378,-21959926.091411564,-19112324.83904013,-0.1488181329353866,-0.32298314169281517,0.20536878719919055,0.25963521660563166,True,True
31,1098883.6854379724,0.9493427173248965,347,1.0440362880991634,0.9706620003423959,1.0459931085753904,1.156326550212682,-22136116.964487825,-19626515.809178665,-0.15293741465114116,-0.33279750278926284,0.1903235976272337,0.23717275830119589,True,True
32,1029828.4061633637,0.9434155831969254,344,1.0395966615075127,1.08983123125991,0.9394163596504223,1.1314868892154215,-22909904.515875775,-20188710.73132757,-0.17553028986554678,-0.3722704377206471,0.14704865058082062,0.1872734594754375,True,True
33,1235006.56870935,0.9712084232228874,352,0.9427938820240072,1.073840422999346,0.914471625016943,0.8948826252343043,-18923450.479688223,-16023105.959366404,-0.127229965911025,-0.2743774131864207,0.27303385483677006,0.3273260372966013,True,True
34,946350.7908488826,0.9666811825404983,352,1.1417349490204067,1.0889023238269406,0.958340059057726,1.1012755874846336,-26075053.647385847,-22827053.217370536,-0.20378172929935393,-0.42216879896881615,0.10467440607346276,0.13913639004849443,True,True
