portfolio_type,settlement_date,evaluation_segment,power_mw,energy_mwh,duration_hours,recommended_soc_pct,safe_soc_lower_pct,safe_soc_upper_pct,energy_band_feasible,preparation_action,grid_import_to_recommendation_mwh,grid_export_to_recommendation_mwh,reserve_coverage_pct,downward_reserve_required_mwh,upward_headroom_required_mwh,directional_interval_coverage_pct,before_mwh,fixed_residual_mwh,smart_residual_mwh,fixed_absorbed_pct,smart_absorbed_pct
solar,2025-05-01,development_oof,25.0,150.0,6.0,50.0,31.07457119306949,68.34726843858243,True,hold current SOC,0.0,-0.0,100.0,29.98964055666227,34.23597464914678,89.58333333333334,20.453725129798503,0.0,0.0,100.0,100.0
solar,2025-05-02,development_oof,25.0,150.0,6.0,50.0,31.07457119306949,68.34726843858243,True,hold current SOC,0.0,-0.0,100.0,29.989640556662273,34.23597464914678,77.08333333333334,33.64984568457842,0.0,0.0,100.0,100.0
solar,2025-05-03,development_oof,25.0,150.0,6.0,50.0,31.797047543769416,68.34726843858243,True,hold current SOC,0.0,-0.0,100.0,31.01774242738053,34.23597464914678,83.33333333333334,26.542019905968136,2.7755575615628914e-17,2.7755575615628914e-17,100.0,100.0
solar,2025-05-04,development_oof,25.0,150.0,6.0,50.0,31.265362429516838,72.24180160278188,True,hold current SOC,0.0,-0.0,100.0,30.26114124581028,28.07817703818039,68.75,35.797146719004104,0.0,0.0,100.0,100.0
solar,2025-05-05,development_oof,25.0,150.0,6.0,50.0,31.213701357933182,71.36715022783514,True,hold current SOC,0.0,-0.0,100.0,30.187626252154068,29.461122289895208,62.5,41.62003843441215,0.0,0.0,100.0,100.0
solar,2025-05-06,development_oof,25.0,150.0,6.0,50.0,31.630966476534734,68.09418859570292,True,hold current SOC,0.0,-0.0,100.0,30.781404925468607,34.636129015835195,66.66666666666666,57.53154461409643,0.0,0.0,100.0,100.0
solar,2025-05-07,development_oof,25.0,150.0,6.0,50.0,31.395549783603364,67.32704326394945,True,hold current SOC,0.0,-0.0,100.0,30.446401098469188,35.84909228818842,60.416666666666664,60.40079332311316,0.0,0.0,100.0,100.0
solar,2025-05-08,development_oof,25.0,150.0,6.0,50.0,30.87953218877818,67.85169769323129,True,hold current SOC,0.0,-0.0,100.0,29.712095187902925,35.01954079767523,75.0,31.23893114932134,0.0,0.0,100.0,100.0
solar,2025-05-09,development_oof,25.0,150.0,6.0,50.0,31.170780719045265,64.17373903299006,True,hold current SOC,0.0,-0.0,100.0,30.126549112272134,40.83490405082708,89.58333333333334,29.61746485708883,0.0,0.0,100.0,100.0
solar,2025-05-10,development_oof,25.0,150.0,6.0,50.0,31.117540817937023,64.17373903299006,True,hold current SOC,0.0,-0.0,100.0,30.050787404815267,40.83490405082708,87.5,22.557768818653095,0.0,0.0,100.0,100.0
solar,2025-05-11,development_oof,25.0,150.0,6.0,50.0,31.077982969402424,64.12103204783088,True,hold current SOC,0.0,-0.0,100.0,29.99449559949788,40.918241111678896,75.0,40.6329095495006,0.0,0.0,100.0,100.0
solar,2025-05-12,development_oof,25.0,150.0,6.0,50.0,31.59097872365684,64.22916160939813,True,hold current SOC,0.0,-0.0,100.0,30.724501355545858,40.747273263204974,85.41666666666666,29.250811600455325,0.0,0.0,100.0,100.0
solar,2025-05-13,development_oof,25.0,150.0,6.0,50.0,31.570434289664288,64.40824618986173,True,hold current SOC,0.0,-0.0,100.0,30.69526611345091,40.46411567916466,87.5,34.94099565497083,0.0,0.0,100.0,100.0
solar,2025-05-14,development_oof,25.0,150.0,6.0,50.0,31.490913735441815,64.40320777382462,True,hold current SOC,0.0,-0.0,100.0,30.582106380987046,40.47208211440302,91.66666666666666,30.391878212108804,2.7755575615628914e-17,2.7755575615628914e-17,100.0,100.0
solar,2025-05-15,development_oof,25.0,150.0,6.0,50.0,31.2025572470505,65.12722023023565,True,hold current SOC,0.0,-0.0,100.0,30.171767904355033,39.3273179061069,47.91666666666667,81.3291789029118,24.408181019880963,24.408181019880963,69.98840840503422,69.98840840503422
solar,2025-05-16,development_oof,25.0,150.0,6.0,50.0,32.595476791875825,64.62657128807108,True,hold current SOC,0.0,-0.0,100.0,32.1539271659109,40.11891338880389,79.16666666666666,43.33034188980237,2.7755575615628914e-17,2.7755575615628914e-17,100.0,100.0
solar,2025-05-17,development_oof,25.0,150.0,6.0,50.0,32.04426978698076,64.22469668551213,True,hold current SOC,0.0,-0.0,100.0,31.3695458469423,40.7543329277345,85.41666666666666,29.157189035648916,0.0,0.0,100.0,100.0
solar,2025-05-18,development_oof,25.0,150.0,6.0,50.0,32.07584954367999,64.24223010620955,True,hold current SOC,0.0,-0.0,100.0,31.41448462854789,40.7266101554456,75.0,38.87390808453907,0.0,0.0,100.0,100.0
solar,2025-05-19,development_oof,25.0,150.0,6.0,50.0,32.00784424378547,64.0653490236279,True,hold current SOC,0.0,-0.0,100.0,31.31771139026462,41.00628370342275,60.416666666666664,68.28281052222123,11.337431646842251,11.337431646842251,83.3963605772309,83.3963605772309
solar,2025-05-20,development_oof,25.0,150.0,6.0,50.0,33.80917504059134,64.3059125079349,True,hold current SOC,0.0,-0.0,100.0,33.88105005205526,40.62591943728462,93.75,20.290418010523787,0.0,0.0,100.0,100.0
solar,2025-05-21,development_oof,25.0,150.0,6.0,50.0,33.58007618551999,65.6581638111031,True,hold current SOC,0.0,-0.0,100.0,33.555036665942225,38.48782239381346,93.75,25.220246840692344,0.0,0.0,100.0,100.0
solar,2025-05-22,development_oof,25.0,150.0,6.0,50.0,32.71715437555293,67.93904262609584,True,hold current SOC,0.0,-0.0,100.0,32.32707740298332,34.881436332711985,85.41666666666666,24.79611072337384,0.0,0.0,100.0,100.0
solar,2025-05-23,development_oof,25.0,150.0,6.0,50.0,33.36666912071887,65.27770868001323,True,hold current SOC,0.0,-0.0,100.0,33.25135308884801,39.08937477468438,68.75,61.05265770349054,0.0,0.0,100.0,100.0
solar,2025-05-24,development_oof,25.0,150.0,6.0,50.0,27.789275409451378,75.69810594146263,True,hold current SOC,0.0,-0.0,100.0,25.314582698050856,22.61328003970381,72.91666666666666,27.49198211905769,2.0816681711721685e-17,2.0816681711721685e-17,100.0,100.0
solar,2025-05-25,development_oof,25.0,150.0,6.0,50.0,32.97802704605862,64.41415736847517,True,hold current SOC,0.0,-0.0,100.0,32.6983057211232,40.454769285127355,81.25,24.4811398959083,0.0,0.0,100.0,100.0
solar,2025-05-26,development_oof,25.0,150.0,6.0,50.0,30.637185171914872,69.403027105961,True,hold current SOC,0.0,-0.0,100.0,29.367229337057044,32.56667362495659,77.08333333333334,26.59752104827537,1.1796119636642288e-16,1.1796119636642288e-16,100.0,100.0
solar,2025-05-27,development_oof,25.0,150.0,6.0,50.0,25.997831073736176,77.4253925025359,True,hold current SOC,0.0,-0.0,100.0,22.765312717030543,19.88220018730828,66.66666666666666,35.2621046228325,3.469446951953614e-18,3.469446951953614e-18,100.0,100.0
solar,2025-05-28,development_oof,25.0,150.0,6.0,50.0,32.2582620159232,64.87810816334745,True,hold current SOC,0.0,-0.0,100.0,31.674062127207744,39.72119866810637,83.33333333333334,38.04613000462116,1.734723475976807e-18,1.734723475976807e-18,100.0,100.0
solar,2025-05-29,development_oof,25.0,150.0,6.0,50.0,29.404461630738346,72.67094648568896,True,hold current SOC,0.0,-0.0,100.0,27.613032985115254,27.399639400084087,45.83333333333333,88.50189977800949,25.160782350832807,25.160782350832807,71.5703477394904,71.5703477394904
solar,2025-05-30,development_oof,25.0,150.0,6.0,50.0,31.42840789415502,65.97543515739045,True,hold current SOC,0.0,-0.0,100.0,30.493159009497973,37.98617234852543,56.25,75.55700001892745,9.681105905856212,9.681105905856212,87.18701655249541,87.18701655249541
solar,2025-05-31,development_oof,25.0,150.0,6.0,50.0,32.33134740209568,64.66058703104079,True,hold current SOC,0.0,-0.0,100.0,31.778064454997853,40.06512977676031,85.41666666666666,41.74133401701995,0.0,0.0,100.0,100.0
solar,2025-06-01,development_oof,25.0,150.0,6.0,50.0,33.00612424121713,64.66514389738164,True,hold current SOC,0.0,-0.0,100.0,32.73828873077662,40.05792473844528,97.91666666666666,24.125634058018377,1.3877787807814457e-17,1.3877787807814457e-17,100.0,100.0
solar,2025-06-02,development_oof,25.0,150.0,6.0,50.0,32.909382152312816,64.64852540243751,True,hold current SOC,0.0,-0.0,100.0,32.60062232483355,40.084200886099,91.66666666666666,24.16206834346735,0.0,0.0,100.0,100.0
solar,2025-06-03,development_oof,25.0,150.0,6.0,50.0,31.801758382741244,65.04698105657408,True,hold current SOC,0.0,-0.0,100.0,31.0244460687591,39.45418717927707,70.83333333333334,50.704210414600766,0.0,0.0,100.0,100.0
solar,2025-06-04,development_oof,25.0,150.0,6.0,50.0,33.08347049955884,65.21768795305894,True,hold current SOC,0.0,-0.0,100.0,32.84835438595984,39.1842758766817,77.08333333333334,42.04394560376909,0.0,0.0,100.0,100.0
solar,2025-06-05,development_oof,25.0,150.0,6.0,50.0,30.151001557795134,67.07944006437491,True,hold current SOC,0.0,-0.0,100.0,28.675377925305195,36.240587321488825,50.0,75.53712790189971,0.0,0.0,100.0,100.0
