portfolio_type,initial_soc_case,power_mw,duration_hours,energy_mwh,error_reduction_pct,equivalent_full_cycles,power_limited_periods,energy_limited_periods,meets_target
solar,start_at_minimum_10pct,25.0,48.0,1200.0,90.86038514315733,7.178998756131051,1,1021,True
solar,start_at_minimum_10pct,50.0,24.0,1200.0,90.86038514315733,7.178998756131051,0,1021,True
solar,start_at_minimum_10pct,50.0,36.0,1800.0,90.86038514315733,4.785999170754034,0,1021,True
solar,start_at_minimum_10pct,50.0,48.0,2400.0,90.86038514315734,3.5894993780655255,0,1021,True
mixed,start_at_minimum_10pct,25.0,4.0,100.0,55.89858519764659,89.43356564121947,0,7409,False
mixed,start_at_minimum_10pct,25.0,8.0,200.0,66.72250538385758,53.37551517533825,0,5394,False
mixed,start_at_minimum_10pct,50.0,4.0,200.0,66.72250538385758,53.37551517533825,0,5394,False
mixed,start_at_minimum_10pct,25.0,12.0,300.0,70.91842496433887,37.821396205254494,0,4691,False
mixed,start_at_minimum_10pct,25.0,16.0,400.0,73.991296783025,29.59513856355266,0,4197,False
mixed,start_at_minimum_10pct,50.0,8.0,400.0,73.991296783025,29.59513856355266,0,4197,False
mixed,start_at_minimum_10pct,25.0,24.0,600.0,77.11734864140965,20.563667331389173,0,3767,False
mixed,start_at_minimum_10pct,50.0,12.0,600.0,77.11734864140965,20.563667331389173,0,3767,False
mixed,start_at_minimum_10pct,50.0,16.0,800.0,79.47113138838407,15.893485095541056,0,3352,False
mixed,start_at_minimum_10pct,25.0,36.0,900.0,80.09702802887263,14.238807632227605,0,3258,True
mixed,start_at_minimum_10pct,25.0,48.0,1200.0,81.97471795033833,10.929452705600697,0,3001,True
mixed,start_at_minimum_10pct,50.0,24.0,1200.0,81.97471795033833,10.929452705600697,0,3001,True
mixed,start_at_minimum_10pct,50.0,36.0,1800.0,85.73009779326979,7.620097778973796,0,2430,True
mixed,start_at_minimum_10pct,50.0,48.0,2400.0,89.48547763620118,5.965420315660342,0,1794,True
